id,wb,name,desc,status,cat,target,track,v,cost,enabled,use_at,_note
c_sg,300001,젤리,싱글 트랙 레벨 +1,가안,area,싱글,610001,,4,1,any,가칭 · 수치와 최대 레벨 미정
c_db,300002,사탕,더블 트랙 레벨 +1,가안,area,더블,610002,,4,1,any,가칭 · 2026-09-13 기획서 s31 표가 사탕 다섯 줄 전부 4G 라 6 → 4
c_tr,300003,지팡이 사탕,트리플 트랙 레벨 +1,가안,area,트리플,610003,,4,1,any,가칭 · 2026-09-13 기획서 s31 표가 사탕 다섯 줄 전부 4G 라 6 → 4
c_bl,300004,막대 사탕,불 트랙 레벨 +1,가안,area,불,610004,,4,1,any,아우터·이너 공유 트랙 · 2026-09-13 기획서 s31 표가 사탕 다섯 줄 전부 4G 라 9 → 4
c_bo,300005,초콜릿,보드 아웃 트랙 레벨 +1,가안,area,보드 아웃,610005,,4,1,any,기본 점수 0 유지
v_cash,310001,오리 금고,보유 골드가 2배가 된다 (상한 {v}),가안,gold,,,20,15,1,any,대상을 안 고른다 — 든 것과 무관하게 바로 선다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(비상금 → 오리 금고)
v_pick,310002,금고 속 수영,보유중인 동전의 판매가 합만큼 골드를 받는다,가안,sellsum,,,0,15,1,any,sell_value 를 그대로 쓴다. 동전이 없으면 0 이라 살 이유가 없어진다 — 그 판단이 상점에서 선다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(동전 줍기 → 금고 속 수영)
v_redo,310003,또 같은 아침,이번 판을 처음부터 다시 시작한다,가안,redo,,,0,15,1,play,점수와 다트를 판 시작 상태로 되돌린다. 목표와 제약은 그대로다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(재도전 → 또 같은 아침)
v_par,310004,GOOD AFTERNOON,다음 보스 제약을 무효로 만든다,가안,pardon,,,0,15,1,rest,다음 보스 판에서 제약 셋을 깔되 고른 것이 안 걸린다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(면죄부 → GOOD AFTERNOON). game.gd 2065 의 팝업 글자도 같은 이름으로 갈렸다 — 이름이 표와 거기 두 곳에 있어 같이 고쳐야 한다
v_moth,310005,It's Not About Money,동전 한 개를 부수고 그 판매가의 2배를 받는다,가안,burn,동전,,2,15,1,any,상점에서만 쓴다. 테이블을 갈아 보유 동전을 떨어뜨리고 판매 창구로 보낸 것을 부순다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(불나방 → It's Not About Money). 앞 문장의 사용조건은 기획서 s33 이 「상관없음」이라 어긋나지만 사용조건 열은 다음 단계 몫이라 손대지 않았다
v_fake,310006,마릴린 딥틱,동전 하나를 복사해 갖는다,가안,clone,동전,,0,30,1,any,상점에서만 쓴다. 창구 이름이 「복제」다 — 보낸 동전이 하나 더 손에 들어온다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(위조화폐 → 마릴린 딥틱). 앞 문장의 사용조건은 기획서 s33 이 「상관없음」이라 어긋나지만 사용조건 열은 다음 단계 몫이라 손대지 않았다
v_pnt,310007,"빨강, 파랑, 노랑",이번 판 칸 한 개를 칠하고 그 칸 점수 2배,가안,paint,칸,,2,15,1,play,"판에서만 쓴다. 판 말고는 어둡게 깔고 커서 밑 칸을 밝혀 고르게 한다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(페인트 → 빨강, 파랑, 노랑). 이름에 쉼표가 있어 name 과 이 칸을 겹따옴표로 감쌌다 · game.gd 6082 의 팝업 글자도 같은 이름으로 갈렸다 — 이름이 표와 거기 두 곳에 있어 같이 고쳐야 한다"
v_peek,310008,프리크라임,다음 보스의 제약 셋을 미리 본다,가안,peek,,,0,15,1,rest,상점이나 판 고르기에서 쓴다. 본 셋이 그 판에 그대로 깔린다 · 2026-09-13 기획서 s32·s33 표 이름으로 갈았다(한 수 앞 → 프리크라임)
c_again,310009,구성 VIII,던진 다트 궤적대로 한 번 더 던진다,가안,again,,,0,15,1,play,2026-09-13 기획서 s33 신설. 조준을 건너뛰고 직전 궤적으로 한 발이 더 나간다 — 첫 다트가 꽂힌 뒤라야 궤적이 있다
